OBJECTID,Freeway,1km_radius,ROAD_GEOMETRY
3401778,,N,T intersection
3401779,,N,Cross intersection
3401779,,N,Cross intersection
3401846,,Y,T intersection
3401857,1.0,Y,Cross intersection
3401857,1.0,N,Cross intersection
3401857,1.0,N,Cross intersection
3401904,,N,Not at intersection
3402067,,Y,Multiple intersection
3402177,1.0,N,Not at intersection
3402177,1.0,N,Not at intersection
3402222,1.0,N,T intersection
3402222,1.0,N,T intersection
3402222,1.0,N,T intersection
3402295,,Y,T intersection
3402295,,N,T intersection
3402320,1.0,N,Not at intersection
3402320,1.0,N,Not at intersection
3402425,,N,Cross intersection
3402696,1.0,N,Not at intersection
3402696,1.0,N,Not at intersection
3403056,,N,Cross intersection
3403056,,N,Cross intersection
3403065,,Y,Not at intersection
3403222,,N,T intersection
3403222,,N,T intersection
3403522,1.0,Y,Not at intersection
3403522,1.0,N,Not at intersection
3403522,1.0,N,Not at intersection
3403534,,N,Not at intersection
3403654,,N,T intersection
3404279,1.0,N,Not at intersection
3404279,1.0,N,Not at intersection
3404279,1.0,N,Not at intersection
3404494,,Y,Not at intersection
3404494,,N,Not at intersection
3404568,,Y,T intersection
3404619,,N,Not at intersection
3404739,,N,T intersection
3404927,,Y,T intersection
3404968,,N,Cross intersection
3405124,,N,Not at intersection
3405481,,N,T intersection
3405606,1.0,Y,Cross intersection
3405606,1.0,N,Cross intersection
3405606,1.0,N,Cross intersection
3406064,1.0,N,T intersection
3406064,1.0,N,T intersection
3406156,,N,T intersection
3406531,,N,Not at intersection
3406740,,N,Not at intersection
3406740,,N,Not at intersection
3406762,,N,T intersection
3406861,1.0,N,T intersection
3406861,1.0,N,T intersection
3406861,1.0,N,T intersection
3406912,1.0,N,Not at intersection
3406912,1.0,N,Not at intersection
3406912,1.0,N,Not at intersection
3406916,,Y,Cross intersection
3406916,,N,Cross intersection
3407124,,N,Not at intersection
3407480,,N,Not at intersection
3407480,,N,Not at intersection
3407705,1.0,Y,Not at intersection
3407705,1.0,N,Not at intersection
3407705,1.0,N,Not at intersection
3407713,,N,Not at intersection
3407756,,N,T intersection
3407907,,Y,Cross intersection
3408289,,Y,Cross intersection
3408569,1.0,N,Not at intersection
3408569,1.0,N,Not at intersection
3408769,1.0,N,Not at intersection
3408769,1.0,N,Not at intersection
3408841,,N,T intersection
3408974,,N,T intersection
3408974,,N,T intersection
3409231,1.0,N,T intersection
3409231,1.0,N,T intersection
3409295,,N,Cross intersection
3409295,,N,Cross intersection
3409328,3.0,Y,Cross intersection
3409328,3.0,N,Cross intersection
3409328,3.0,N,Cross intersection
3409621,,N,Not at intersection
3409698,,Y,Cross intersection
3409698,,N,Cross intersection
3409813,,N,Not at intersection
3409864,,N,Not at intersection
3409904,1.0,Y,T intersection
3409904,1.0,N,T intersection
3409904,1.0,N,T intersection
3410040,,N,T intersection
3410040,,N,T intersection
3410234,1.0,Y,Not at intersection
3410234,1.0,N,Not at intersection
3410234,1.0,N,Not at intersection
3410428,,N,T intersection
3411787,,Y,Not at intersection
3411787,,N,Not at intersection
