LGA,LGA Code,Departmental Region,City_Regional,Index of Relative Socio-Economic Disadvantage (IRSD),Index of Relative Socio-Economic Disadvantage (IRSD) (rank),Percentage of highly disadvantaged SA1s,Percentage of highly disadvantaged SA1s (rank),People with income less than $400 per week,People with income less than $400 per week (rank),Median household income,Median household income (rank),Median house price,Median house price (rank),Journeys to work which are by car,Journeys to work which are by car (rank),People with at least 2 hour daily commute,People with at least 2 hour daily commute (rank),People at increased risk of alcohol-related harm on a single occasion of drinking,People at increased risk of alcohol-related harm on a single occasion of drinking (rank),People reporting fair or poor health status,People reporting fair or poor health status (rank),"Clients that received Alcohol & Drug Treatment Services per 1,000 population","Clients that received Alcohol & Drug Treatment Services per 1,000 population (rank)",Total_pop,total_crashes,total_inj,inj_fatal,fatal,serious,minor,no_inj,alcohol,male,female,old_driver,young_driver,crash_per_person
ALPINE,20110,Hume,Regional,987,35,0.23800000000000002,33,0.44799999999999995,21,829,67,265000,50,0.439,77,0.083,35,0.561,6,0.193,10,1.0,78,12335,227,437,281,4,93,184,156,6.0,274,147,19,27,0.018402918524523713
ARARAT,20260,Grampians,Regional,951,11,0.455,8,0.433,30,844,64,193000,68,0.687,38,0.0,0,0.48200000000000004,31,0.14400000000000002,45,11.5,4,11599,150,344,221,8,71,142,123,5.0,207,132,13,35,0.01293214932321752
BALLARAT,20570,Grampians,Regional,981,29,0.315,23,0.41700000000000004,39,988,44,294000,48,0.738,15,0.047,47,0.537,15,0.12300000000000001,60,5.5,31,101689,1134,2918,1531,20,316,1195,1387,56.0,1412,1345,101,406,0.011151648654230054
BANYULE,20660,Northern Metropolitan,Metro,1047,67,0.083,60,0.369,68,1394,12,620000,17,0.6409999999999999,55,0.20600000000000002,5,0.40700000000000003,64,0.16699999999999998,31,3.7,54,121869,909,2224,1127,10,247,870,1097,18.0,1158,973,81,289,0.007458828742338084
BASS COAST,20740,Gippsland,Regional,978,27,0.21600000000000003,36,0.43799999999999994,26,855,61,340000,38,0.7140000000000001,25,0.068,40,0.452,44,0.177,20,7.1,17,32806,340,878,485,11,142,332,393,20.0,470,386,32,95,0.010363957812595257
BAW BAW,20830,Gippsland,Regional,998,47,0.152,54,0.415,41,1025,40,309000,44,0.6990000000000001,32,0.10800000000000001,25,0.429,59,0.129,58,5.1,35,48477,780,1404,950,16,292,642,454,28.0,848,515,37,208,0.016090104585679808
BAYSIDE,20910,Southern Metropolitan,Metro,1091,77,0.023,73,0.327,76,1826,3,1250000,3,0.627,57,0.141,20,0.505,23,0.085,78,2.8,67,97092,799,1882,964,12,290,662,918,20.0,1028,793,107,177,0.008229308284925638
BENALLA,21010,Hume,Regional,957,16,0.297,26,0.44799999999999995,22,827,69,235500,59,0.693,34,0.0,0,0.402,66,0.098,71,3.2,62,13863,192,484,249,10,96,143,235,5.0,267,200,21,52,0.01384981605713049
BENDIGO,22620,Loddon Mallee,Regional,983,31,0.28,28,0.413,43,991,43,320000,41,0.74,13,0.0,0,0.441,50,0.172,26,7.1,15,110479,1282,2941,1610,23,426,1161,1331,53.0,1522,1307,104,432,0.01160401524271581
BOROONDARA,21110,Eastern Metropolitan,Metro,1098,78,0.008,75,0.33299999999999996,75,1893,1,1550000,1,0.5660000000000001,68,0.055,43,0.488,28,0.10300000000000001,68,2.5,70,167232,1440,3312,1630,14,384,1232,1682,37.0,1791,1368,117,358,0.008610792192881744
