OBJECTID,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,RMA,DIVIDED,STAT_DIV_NAME,lat,lng,geolocation_area,geolocation,postcode,locality,region
3401749,T20130013740,2/07/2013,13.40.00,No,Collision with a fixed object,Tuesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Serious injury accident,100 km/hr,145.7914,-38.23087,Non-Intersection,BAW BAW,EASTERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-38.231,145.791,-38.2;145.8,-38.231;145.791,,,
3401773,T20130013620,1/07/2013,05.30.00,Yes,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,Dark No street lights,Not at intersection,Serious injury accident,100 km/hr,146.39508,-37.972590000000004,Non-Intersection,BAW BAW,EASTERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Country,-37.973,146.395,-38.0;146.4,-37.973;146.395,,,
3401777,T20130013638,1/07/2013,10.30.00,No,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Serious injury accident,80 km/hr,147.83109,-37.37856,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,Arterial Highway,Undivided,Country,-37.379,147.831,-37.4;147.8,-37.379;147.831,,,
3401784,T20130013654,1/07/2013,17.45.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),Dusk/Dawn,T intersection,Other injury accident,60 km/hr,144.76513,-36.144740000000006,Intersection,CAMPASPE,NORTHERN REGION,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,No,0,2,0,2,0,0,SMALL_CITIES,Arterial Other,Undivided,Country,-36.145,144.765,-36.1;144.8,-36.145;144.765,,,
3401817,T20130013869,4/07/2013,09.00.00,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,Day,Not at intersection,Serious injury accident,50 km/hr,143.14876999999998,-38.23531,Non-Intersection,CORANGAMITE,SOUTH WESTERN REGION,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,TOWNS,Local Road,Undivided,Country,-38.235,143.149,-38.2;143.1,-38.235;143.149,,,
3401823,T20130014024,6/07/2013,14.30.00,Yes,Collision with vehicle,Saturday,RIGHT NEAR (INTERSECTIONS ONLY),Day,T intersection,Other injury accident,50 km/hr,145.42786999999998,-37.21054,Intersection,MURRINDINDI,NORTH EASTERN REGION,8,8,0,0,8,0,0,6,2,0,0,0,0,0,0,0,No,0,2,0,2,0,0,TOWNS,Arterial Highway,Undivided,Country,-37.211,145.428,-37.2;145.4,-37.211;145.428,,,
3401831,T20130014037,6/07/2013,15.45.00,Yes,Collision with vehicle,Saturday,U TURN,Day,Not at intersection,Serious injury accident,100 km/hr,144.39163,-37.73881,Non-Intersection,MOORABOOL,WESTERN REGION,7,4,0,4,0,3,0,5,2,0,0,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,Local Road,Undivided,Country,-37.739,144.392,-37.7;144.4,-37.739;144.392,,,
3401854,T20130013948,5/07/2013,09.30.00,No,Collision with vehicle,Friday,RIGHT REAR.,Day,Not at intersection,Other injury accident,60 km/hr,144.75662,-36.13868,Non-Intersection,CAMPASPE,NORTHERN REGION,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,No,0,2,0,2,0,0,SMALL_CITIES,Local Road,Undivided,Country,-36.139,144.757,-36.1;144.8,-36.139;144.757,,,
3401856,T20130013955,4/07/2013,21.58.00,Yes,collision with some other object,Thursday,STRUCK OBJECT ON CARRIAGEWAY,Dark No street lights,Not at intersection,Other injury accident,100 km/hr,145.28061,-37.373909999999995,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,Arterial Other,Undivided,Country,-37.374,145.281,-37.4;145.3,-37.374;145.281,,,
3401868,T20130013983,5/07/2013,15.50.00,No,Struck animal,Friday,STRUCK ANIMAL,Day,Not at intersection,Other injury accident,100 km/hr,147.2275,-36.50448,Non-Intersection,TOWONG,NORTH EASTERN REGION,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,Local Road,Undivided,Country,-36.504,147.227,-36.5;147.2,-36.504;147.227,,,
