SEX_ABS,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,100 and over,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,Grand Total
Alpine (S),4,665,427,452,485,565,810,844,968,1083,1059,975,745,533,382,244,110,28,10379
Ararat (RC),0,606,533,628,614,665,689,813,794,893,893,824,653,483,356,235,98,17,9794
Ballarat (C),17,6603,7544,6764,6358,6082,6335,6384,6501,6222,5852,5552,4170,3126,2325,1535,696,157,82223
Banyule (C),16,6834,7410,7889,8358,8593,8776,8370,7851,7653,6887,6534,4976,3681,2782,2031,990,209,99840
Bass Coast (S),11,1587,1127,1337,1542,1536,1800,2052,2180,2473,2713,2962,2343,1576,1090,742,289,95,27455
Baw Baw (S),16,3003,2510,2596,2672,2608,2823,3224,3259,3464,3256,3206,2524,1774,1153,726,294,75,39183
Bayside (C),44,6178,4919,3760,4223,5261,7153,8315,7543,6884,5756,5399,4312,3025,2322,2082,1194,303,78673
Benalla (RC),3,777,645,584,624,598,717,844,1019,1135,1124,1156,834,638,460,347,136,39,11680
Boroondara (C),57,11910,13346,12239,10306,9779,10960,12324,11777,10233,8753,7922,6027,4506,3525,2764,1590,418,138436
Brimbank (C),21,12254,15155,15781,15530,13470,12845,12724,12158,11696,10476,9178,6402,4602,3261,1938,811,147,158449
Buloke (S),3,345,195,252,215,245,307,402,454,516,519,486,340,345,234,208,101,24,5191
Campaspe (S),15,2334,1758,1762,1759,1756,2180,2401,2654,2723,2636,2465,2087,1601,1146,728,335,92,30432
Cardinia (S),6,6230,5937,6508,7199,6557,6642,6595,5886,5271,4369,3975,2923,1925,1209,790,305,78,72405
Casey (C),31,20950,20672,20459,23970,22887,21978,20872,18878,16686,13406,10793,7495,5329,3618,2246,933,233,231436
Central Goldfields (S),7,693,619,525,476,539,691,816,909,980,1058,1120,922,716,464,294,126,29,10984
Colac-Otway (S),9,1191,1081,1105,1095,1055,1215,1386,1437,1556,1593,1464,1105,832,566,366,179,33,17268
Corangamite (S),5,1027,743,691,673,779,876,1083,1218,1253,1142,1115,871,686,507,292,130,38,13129
Darebin (C),26,6937,11345,14201,14265,11928,11002,10501,8612,7592,6001,5175,4236,4184,3566,2439,1033,244,123287
East Gippsland (S),14,2292,1822,1857,1965,1972,2306,2699,3072,3451,3754,4194,3314,2289,1512,899,396,82,37890
Frankston (C),26,8009,8512,8846,9635,9075,9496,9702,9133,8698,7401,6682,5026,3619,2568,1735,744,209,109116
Gannawarra (S),0,620,446,391,459,465,539,679,746,783,836,854,695,596,388,246,105,25,8873
Glen Eira (C),30,7770,9867,10871,11156,9933,10226,10178,8785,8074,7026,6295,4225,3548,2918,2485,1392,332,115111
Glenelg (S),3,1195,908,763,898,937,1208,1355,1612,1611,1563,1444,1010,804,527,367,149,36,16390
Golden Plains (S),5,1488,973,889,1226,1404,1679,1716,1557,1515,1397,1218,779,443,245,139,69,9,16751
Greater Bendigo (C),36,7066,7580,6950,6790,6384,6718,6913,7179,7291,6745,6286,4575,3560,2498,1775,772,163,89281
Greater Dandenong (C),21,9021,12088,13346,13816,10995,9724,9179,8683,8330,7507,6745,5166,3951,3048,1962,833,190,124605
Greater Geelong (C),56,14447,15606,14807,14830,13998,15258,15025,14948,14817,14073,13418,10171,7663,5657,4059,1897,450,191180
Greater Shepparton (C),14,4328,3571,3944,3906,3691,4091,4252,4301,4111,3802,3512,2658,2050,1444,930,449,96,51150
Hepburn (S),10,677,549,540,596,747,979,1121,1173,1362,1437,1341,930,610,409,282,139,35,12937
Hindmarsh (S),9,319,247,229,257,236,289,374,414,497,455,407,363,266,213,177,87,22,4861
