SEX_ABS,Sex,AGE,Age,State,Geography Level,LGA_2016,Region,Census year,Value
1,Males,TT,All ages,Victoria,Local Government Areas (2016),20110,Alpine (S),2016,6074
2,Females,TT,All ages,Victoria,Local Government Areas (2016),20110,Alpine (S),2016,6265
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),20110,Alpine (S),2016,12337
1,Males,TT,All ages,Victoria,Local Government Areas (2016),20260,Ararat (RC),2016,6152
2,Females,TT,All ages,Victoria,Local Government Areas (2016),20260,Ararat (RC),2016,5449
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),20260,Ararat (RC),2016,11600
1,Males,TT,All ages,Victoria,Local Government Areas (2016),20570,Ballarat (C),2016,48864
2,Females,TT,All ages,Victoria,Local Government Areas (2016),20570,Ballarat (C),2016,52821
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),20570,Ballarat (C),2016,101686
1,Males,TT,All ages,Victoria,Local Government Areas (2016),20660,Banyule (C),2016,59222
2,Females,TT,All ages,Victoria,Local Government Areas (2016),20660,Banyule (C),2016,62644
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),20660,Banyule (C),2016,121865
1,Males,TT,All ages,Victoria,Local Government Areas (2016),20740,Bass Coast (S),2016,15897
2,Females,TT,All ages,Victoria,Local Government Areas (2016),20740,Bass Coast (S),2016,16912
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),20740,Bass Coast (S),2016,32804
1,Males,TT,All ages,Victoria,Local Government Areas (2016),20830,Baw Baw (S),2016,23543
2,Females,TT,All ages,Victoria,Local Government Areas (2016),20830,Baw Baw (S),2016,24938
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),20830,Baw Baw (S),2016,48479
1,Males,TT,All ages,Victoria,Local Government Areas (2016),20910,Bayside (C),2016,46229
2,Females,TT,All ages,Victoria,Local Government Areas (2016),20910,Bayside (C),2016,50862
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),20910,Bayside (C),2016,97087
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21010,Benalla (RC),2016,6720
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21010,Benalla (RC),2016,7149
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21010,Benalla (RC),2016,13861
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21110,Boroondara (C),2016,80145
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21110,Boroondara (C),2016,87085
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21110,Boroondara (C),2016,167231
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21180,Brimbank (C),2016,97239
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21180,Brimbank (C),2016,97079
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21180,Brimbank (C),2016,194319
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21270,Buloke (S),2016,3138
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21270,Buloke (S),2016,3066
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21270,Buloke (S),2016,6201
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21370,Campaspe (S),2016,18293
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21370,Campaspe (S),2016,18765
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21370,Campaspe (S),2016,37061
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21450,Cardinia (S),2016,46358
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21450,Cardinia (S),2016,47773
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21450,Cardinia (S),2016,94128
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21610,Casey (C),2016,149024
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21610,Casey (C),2016,150274
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21610,Casey (C),2016,299301
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21670,Central Goldfields (S),2016,6412
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21670,Central Goldfields (S),2016,6580
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21670,Central Goldfields (S),2016,12995
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21750,Colac-Otway (S),2016,10485
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21750,Colac-Otway (S),2016,10489
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21750,Colac-Otway (S),2016,20972
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21830,Corangamite (S),2016,8082
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21830,Corangamite (S),2016,7970
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21830,Corangamite (S),2016,16051
1,Males,TT,All ages,Victoria,Local Government Areas (2016),21890,Darebin (C),2016,70903
2,Females,TT,All ages,Victoria,Local Government Areas (2016),21890,Darebin (C),2016,75816
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),21890,Darebin (C),2016,146719
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22110,East Gippsland (S),2016,22107
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22110,East Gippsland (S),2016,22932
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22110,East Gippsland (S),2016,45040
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22170,Frankston (C),2016,65418
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22170,Frankston (C),2016,68727
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22170,Frankston (C),2016,134143
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22250,Gannawarra (S),2016,5257
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22250,Gannawarra (S),2016,5293
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22250,Gannawarra (S),2016,10549
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22310,Glen Eira (C),2016,68140
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22310,Glen Eira (C),2016,72735
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22310,Glen Eira (C),2016,140875
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22410,Glenelg (S),2016,9749
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22410,Glenelg (S),2016,9809
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22410,Glenelg (S),2016,19557
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22490,Golden Plains (S),2016,11019
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22490,Golden Plains (S),2016,10675
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22490,Golden Plains (S),2016,21688
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22620,Greater Bendigo (C),2016,53587
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22620,Greater Bendigo (C),2016,56891
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22620,Greater Bendigo (C),2016,110477
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22670,Greater Dandenong (C),2016,77550
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22670,Greater Dandenong (C),2016,74506
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22670,Greater Dandenong (C),2016,152050
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22750,Greater Geelong (C),2016,113214
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22750,Greater Geelong (C),2016,120217
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22750,Greater Geelong (C),2016,233429
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22830,Greater Shepparton (C),2016,31713
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22830,Greater Shepparton (C),2016,32125
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22830,Greater Shepparton (C),2016,63837
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22910,Hepburn (S),2016,7382
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22910,Hepburn (S),2016,7944
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22910,Hepburn (S),2016,15330
1,Males,TT,All ages,Victoria,Local Government Areas (2016),22980,Hindmarsh (S),2016,2848
2,Females,TT,All ages,Victoria,Local Government Areas (2016),22980,Hindmarsh (S),2016,2872
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),22980,Hindmarsh (S),2016,5721
1,Males,TT,All ages,Victoria,Local Government Areas (2016),23110,Hobsons Bay (C),2016,43631
2,Females,TT,All ages,Victoria,Local Government Areas (2016),23110,Hobsons Bay (C),2016,45146
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),23110,Hobsons Bay (C),2016,88778
1,Males,TT,All ages,Victoria,Local Government Areas (2016),23190,Horsham (RC),2016,9576
2,Females,TT,All ages,Victoria,Local Government Areas (2016),23190,Horsham (RC),2016,10067
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),23190,Horsham (RC),2016,19642
1,Males,TT,All ages,Victoria,Local Government Areas (2016),23270,Hume (C),2016,98273
2,Females,TT,All ages,Victoria,Local Government Areas (2016),23270,Hume (C),2016,99102
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),23270,Hume (C),2016,197376
1,Males,TT,All ages,Victoria,Local Government Areas (2016),23350,Indigo (S),2016,7859
2,Females,TT,All ages,Victoria,Local Government Areas (2016),23350,Indigo (S),2016,8097
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),23350,Indigo (S),2016,15952
1,Males,TT,All ages,Victoria,Local Government Areas (2016),23430,Kingston (C) (Vic.),2016,73637
2,Females,TT,All ages,Victoria,Local Government Areas (2016),23430,Kingston (C) (Vic.),2016,77753
3,Persons,TT,All ages,Victoria,Local Government Areas (2016),23430,Kingston (C) (Vic.),2016,151389
1,Males,TT,All ages,Victoria,Local Government Areas (2016),23670,Knox (C),2016,75317
2,Females,TT,All ages,Victoria,Local Government Areas (2016),23670,Knox (C),2016,78793
