"HHCD_2016","Household Composition","HIND_2016","Total Household Income (weekly)","STATE","State","REGIONTYPE","Geography Level","LGA_2016","Region","TIME","Census year","Value","Flag Codes","Flags"
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","20110","Alpine (S)","2016","2016",5269,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","20260","Ararat (RC)","2016","2016",4392,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","20570","Ballarat (C)","2016","2016",38792,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","20660","Banyule (C)","2016","2016",44725,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","20740","Bass Coast (S)","2016","2016",13627,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","20830","Baw Baw (S)","2016","2016",17755,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","20910","Bayside (C)","2016","2016",35356,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21010","Benalla (RC)","2016","2016",5653,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21110","Boroondara (C)","2016","2016",60516,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21180","Brimbank (C)","2016","2016",61878,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21270","Buloke (S)","2016","2016",2508,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21370","Campaspe (S)","2016","2016",14050,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21450","Cardinia (S)","2016","2016",31182,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21610","Casey (C)","2016","2016",92484,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21670","Central Goldfields (S)","2016","2016",5510,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21750","Colac-Otway (S)","2016","2016",8200,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21830","Corangamite (S)","2016","2016",6122,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","21890","Darebin (C)","2016","2016",55224,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22110","East Gippsland (S)","2016","2016",17959,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22170","Frankston (C)","2016","2016",50065,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22250","Gannawarra (S)","2016","2016",4273,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22310","Glen Eira (C)","2016","2016",52715,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22410","Glenelg (S)","2016","2016",7779,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22490","Golden Plains (S)","2016","2016",7253,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22620","Greater Bendigo (C)","2016","2016",41845,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22670","Greater Dandenong (C)","2016","2016",48860,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22750","Greater Geelong (C)","2016","2016",87931,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22830","Greater Shepparton (C)","2016","2016",22860,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22910","Hepburn (S)","2016","2016",6187,,
"TOT","Total Households","TOT","Total","2","Victoria","LGA2016","Local Government Areas (2016)","22980","Hindmarsh (S)","2016","2016",2341,,
