Census year,Household Composition,Total Household Income (weekly),State,REGIONTYPE,LGA_2016,Region,Value,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Negative income,Nil income
2016,Total Households,Total,Victoria,LGA2016,20110,Alpine (S),5269,51,108,199,495,337,511,442,472,401,294,239,393,216,122,102,35,50,38,38,13,377,281,11,53
2016,Total Households,Total,Victoria,LGA2016,20260,Ararat (RC),4392,34,120,155,426,283,472,405,410,335,220,203,324,177,92,89,24,24,23,22,0,323,188,14,29
2016,Total Households,Total,Victoria,LGA2016,20570,Ballarat (C),38792,259,945,1423,3385,2216,3502,3162,3414,3062,2407,2085,3560,1969,1109,812,392,367,289,225,26,2541,1171,85,382
2016,Total Households,Total,Victoria,LGA2016,20660,Banyule (C),44725,299,792,1110,2394,1682,2743,2597,3351,2957,2688,2547,5113,3398,2302,1947,1062,1033,959,700,86,3253,1062,82,571
2016,Total Households,Total,Victoria,LGA2016,20740,Bass Coast (S),13627,131,400,589,1519,970,1515,1171,1321,1052,705,625,865,404,221,212,74,79,36,54,11,892,592,39,162
2016,Total Households,Total,Victoria,LGA2016,20830,Baw Baw (S),17755,163,399,540,1417,890,1608,1434,1644,1378,1090,1033,1631,957,494,381,227,171,140,77,20,1266,555,53,179
2016,Total Households,Total,Victoria,LGA2016,20910,Bayside (C),35356,240,501,768,1565,1257,1532,1596,2009,1796,1536,1479,3296,2106,1612,2639,1535,1590,1739,1846,256,3024,926,91,424
2016,Total Households,Total,Victoria,LGA2016,21010,Benalla (RC),5653,65,136,257,595,360,664,525,499,420,312,263,382,213,105,69,36,38,9,24,3,388,230,14,47
2016,Total Households,Total,Victoria,LGA2016,21110,Boroondara (C),60516,524,1042,1094,2097,2031,2303,2702,3514,3401,2912,2861,5934,3793,2809,3906,2287,2561,2915,3216,479,5238,1327,157,1402
2016,Total Households,Total,Victoria,LGA2016,21180,Brimbank (C),61878,570,1643,1777,4221,2676,4899,4594,5562,4931,3918,3578,6021,3734,2114,1375,733,542,461,278,48,5019,1829,200,1146
2016,Total Households,Total,Victoria,LGA2016,21270,Buloke (S),2508,35,80,109,337,149,283,237,214,161,125,97,159,73,33,25,8,6,0,7,0,169,128,26,39
2016,Total Households,Total,Victoria,LGA2016,21370,Campaspe (S),14050,109,335,502,1301,752,1429,1141,1329,1163,769,785,1202,600,332,190,73,92,54,61,15,1008,587,72,150
2016,Total Households,Total,Victoria,LGA2016,21450,Cardinia (S),31182,158,457,612,1584,1226,2057,2155,2741,2703,2206,2232,3864,2357,1241,797,436,336,282,175,32,2389,776,63,309
2016,Total Households,Total,Victoria,LGA2016,21610,Casey (C),92484,505,1310,1617,4208,3245,5810,6195,8049,7952,6849,6464,12109,7171,3920,2528,1414,1041,849,519,100,7346,2070,214,994
