LGA,Female,Male
Alpine (S),6265,6074
Ararat (RC),5449,6152
Ballarat (C),52821,48864
Banyule (C),62644,59222
Bass Coast (S),16912,15897
Baw Baw (S),24938,23543
Bayside (C),50862,46229
Benalla (RC),7149,6720
Boroondara (C),87085,80145
Brimbank (C),97079,97239
Buloke (S),3066,3138
Campaspe (S),18765,18293
Cardinia (S),47773,46358
Casey (C),150274,149024
Central Goldfields (S),6580,6412
Colac-Otway (S),10489,10485
Corangamite (S),7970,8082
Darebin (C),75816,70903
East Gippsland (S),22932,22107
Frankston (C),68727,65418
Gannawarra (S),5293,5257
Glen Eira (C),72735,68140
Glenelg (S),9809,9749
Golden Plains (S),10675,11019
Greater Bendigo (C),56891,53587
Greater Dandenong (C),74506,77550
Greater Geelong (C),120217,113214
Greater Shepparton (C),32125,31713
Hepburn (S),7944,7382
Hindmarsh (S),2872,2848
Hobsons Bay (C),45146,43631
Horsham (RC),10067,9576
Hume (C),99102,98273
Indigo (S),8097,7859
Kingston (C) (Vic.),77753,73637
Knox (C),78793,75317
Latrobe (C) (Vic.),37469,35788
Loddon (S),3668,3848
Macedon Ranges (S),23415,22685
Manningham (C),59953,56306
Mansfield (S),4314,4272
Maribyrnong (C),40883,41405
Maroondah (C),56979,53398
Melbourne (C),69823,66137
Melton (C),68549,66890
Migratory - Offshore - Shipping (Vic.),4,28
Mildura (RC),27398,26481
Mitchell (S),20350,20570
Moira (S),14598,14514
Monash (C),92890,89722
Moonee Valley (C),60280,56394
Moorabool (S),16073,15744
Moreland (C),83051,79507
Mornington Peninsula (S),80125,74875
Mount Alexander (S),9375,9389
Moyne (S),8245,8255
Murrindindi (S),6771,6957
Nillumbik (S),31007,30266
No usual address (Vic.),3238,4331
Northern Grampians (S),5785,5652
Port Phillip (C),51563,49307
Pyrenees (S),3408,3831
Queenscliffe (B),1527,1325
South Gippsland (S),14644,14059
Southern Grampians (S),8178,7759
Stonnington (C),54462,49371
Strathbogie (S),5198,5074
Surf Coast (S),14818,14582
Swan Hill (RC),10217,10368
Towong (S),2907,3077
Unincorporated Vic,409,473
Wangaratta (RC),14665,13651
Warrnambool (C),17502,16157
Wellington (S),21287,21695
West Wimmera (S),1941,1966
Whitehorse (C),84032,78051
Whittlesea (C),99952,97541
Wodonga (C),20050,19296
Wyndham (C),108319,108806
Yarra (C),44619,42039
Yarra Ranges (S),75717,73819
Yarriambiack (S),3305,3366
