"            <div class=""geolocation"" data-lat=""-37.818486502251"" data-lng=""145.17626613378""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Maroondah Highway at the intersection of Maroondah Highway and Springvale Road, Nunawading","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.789954117834"" data-lng=""144.95902329683""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Cemetery Road West at the intersection of Cemetery Road West and Royal Parade, Parkville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.808129992436"" data-lng=""144.97336238623""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Victoria Parade at the intersection of Victoria Parade and Nicholson Street, Carlton","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.689379443454"" data-lng=""144.95814085007""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Sydney Road at the intersection of Sydney Road and Mahoneys Road, Campbellfield","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.773364942102"" data-lng=""145.11204600334""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Manningham Road at the intersection of Manningham Road and Macedon Road, Templestowe Lower","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.961542346426"" data-lng=""145.16896247864""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Lightwood Road at the intersection of Lightwood Road and Corrigan Road, Noble Park","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.768055958793"" data-lng=""145.11840283871""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    High Street at the intersection of High Street and Verene Avenue, Templestowe Lower","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.853182665955"" data-lng=""144.98185962439""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    St Kilda Road at the intersection of St Kilda Road and Union Street, Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.220262309136"" data-lng=""145.05688369274""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nepean Highway at the intersection of Nepean Highway and Bungower Road, Mornington","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.229495673912"" data-lng=""145.04462599754""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nepean Highway at the intersection of Nepean Highway and Main Street, Mornington","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.73403465187"" data-lng=""144.96553301811""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Gaffney Street at the intersection of Gaffney Street and Sydney Road, Coburg","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.793448276762"" data-lng=""144.98260393739""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Alexandra Parade at the intersection of Alexandra Parade and George Street, Fitzroy North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-34.210812882684"" data-lng=""142.1413064003""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Fifteenth Street at the intersection of Fifteenth Street and San Mateo Avenue, Mildura","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.832274562259"" data-lng=""145.26911482215""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Canterbury Road at the intersection of Canterbury Road and Bayswater Road, Bayswater North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.968761636963"" data-lng=""145.2051025629""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Gladstone Road at the intersection of Gladstone Road and Heatherton Road, Dandenong North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.160282254933"" data-lng=""144.35029864311""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Latrobe Terrace at the intersection of Latrobe Terrace and Fyans Street, South Geelong","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.152514461409"" data-lng=""144.33419197798""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Shannon Avenue at the intersection of Shannon Avenue and Noble Street, Newtown","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.410280857745"" data-lng=""145.00566959381""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Northbound Station Street, Wallan East - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.410702694311"" data-lng=""145.00546574592""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Southbound Station Street, Wallan East - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.460279628706"" data-lng=""144.97217416763""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Northbound Mount Fraser, Beveridge - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.460420147255"" data-lng=""144.97246384621""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Freeway, Southbound Mount Fraser, Beveridge - Point-to-point","                        <a href=""/how-cameras-work/camera-types/point-to-point-cameras"">Point to point</a>"
"            <div class=""geolocation"" data-lat=""-37.796506722471"" data-lng=""144.89678263664""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Geelong Road at the intersection of Geelong Road and Droop Street, Footscray","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.796384853356"" data-lng=""144.95111614466""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Flemington Road at the intersection of Flemington Road and Gatehouse Street, Parkville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-38.050642588087"" data-lng=""145.25750756264""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    South Gippsland Highway at the intersection of South Gippsland Highway and Lynbrook Boulevard, Lynbrook","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.815613312357"" data-lng=""145.22740781307""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Ringwood Street at the intersection of Ringwood Street and Maroondah Highway, Ringwood","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.793403766223"" data-lng=""144.97944563627""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Alexandra Parade at the intersection of Alexandra Parade and Brunswick Street, Fitzroy","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.643592941085"" data-lng=""144.95126903057""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Hume Highway at the intersection of Hume Highway and Somerton Road, Campbellfield","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.78681379096"" data-lng=""145.14383822679""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Victoria Street at the intersection of Victoria Street and Doncaster Road, Doncaster","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.858001639837"" data-lng=""144.9801979959""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Fitzroy Street at the intersection of Fitzroy Street and Lakeside Drive, St Kilda","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.792647082946"" data-lng=""144.97152641415""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Street at the intersection of Princes Street and Rathdowne Street, Carlton","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.79270749072"" data-lng=""144.95836347342""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Royal Parade at the intersection of Royal Parade and Gatehouse Street, Parkville","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.823405203059"" data-lng=""144.9788582325""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Swan Street at the intersection of Swan Street and Batman Avenue, Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.961481019594"" data-lng=""145.18842995167""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and Elonera Road, Noble Park North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.900581485905"" data-lng=""145.10524258018""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Princes Highway at the intersection of Princes Highway and Huntingdale Road, Oakleigh East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
