,Length of Roads  km,,,,Total Expenditure,,,,
LGA_NAME,Local Roads - Sealed-length,Local Roads - Unsealed - Formed &  Sheeted-length,Local Roads - Unsealed - Natural Surface_length,Total_roadlength,Local Roads - Sealed-expenditure,Local Roads - Unsealed - Formed &  Sheeted-expenditure,Local Roads - Unsealed - Natural Surface-expenditure,Roads Ancillary-expenditure,Total-expenditure
Alpine ,412.00,233.00,215.00,860.00,3748129.00,265116.00,0.00,0.00,4013244.00
Ararat ,764.00,1420.00,240.00,2424.00,7303459.00,2975868.00,2281.00,1361455.00,11845829.00
Ballarat ,1044.00,351.00,40.00,1435.00,41874084.00,3196942.00,363289.00,1045194.00,46775611.00
Banyule ,538.00,6.00,1.00,545.00,10329600.00,0.00,0.00,0.00,10329600.00
Bass Coast ,563.00,373.00,7.00,943.00,7355926.00,1677983.00,0.00,789457.00,9923525.00
Baw Baw ,1110.00,721.00,184.00,2015.00,13512590.00,3092182.00,0.00,1493686.00,19073493.00
Bayside ,355.00,1.00,0.00,356.00,5547236.00,0.00,0.00,6045707.00,11592943.00
Benalla ,560.00,713.00,78.00,1351.00,2504772.00,1474785.00,0.00,0.00,3979557.00
Boroondara ,562.00,0.00,0.00,562.00,11436082.00,0.00,0.00,0.00,11436082.00
Brimbank ,889.00,5.00,0.00,894.00,25715082.00,344474.00,0.00,1997635.00,28078056.00
Buloke ,0.00,0.00,0.00,0.00,4618923.00,2281024.00,665379.00,80528.00,7645854.00
Campaspe ,1143.00,2066.00,850.00,4059.00,5006414.00,3989378.00,70209.00,3702749.00,14257648.00
Cardinia ,704.00,852.00,5.00,1561.00,5825326.00,10206712.00,26379.00,0.00,16058416.00
Casey ,1589.00,176.00,0.00,1765.00,18865269.00,1244413.00,0.00,4785419.00,25678093.00
Central Goldfields ,512.00,537.00,231.00,1280.00,3226795.00,1033793.00,23536.00,661552.00,5704420.00
Colac Otway ,562.00,1013.00,57.00,1632.00,7950215.00,2888755.00,0.00,1785514.00,13374938.00
Corangamite ,914.00,1230.00,225.00,2369.00,13625339.00,4413487.00,0.00,3903025.00,23560058.00
Darebin ,512.00,2.00,0.00,514.00,6154846.00,0.00,0.00,0.00,7704150.00
East Gippsland ,1166.00,1748.00,44.00,2958.00,10931248.00,5156730.00,0.00,0.00,16087978.00
