id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region
4746,3000,MELBOURNE,VIC,144.956776,-37.817403,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1
4747,3001,MELBOURNE,VIC,144.76592,-38.365017,CITY MAIL PROCESSING CENTRE,Post Office Boxes,Updated 25-Mar-2020 SA3,20605,Port Phillip,206,Melbourne - Inner,R1
4748,3002,EAST MELBOURNE,VIC,144.982207,-37.818517,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1
4749,3003,WEST MELBOURNE,VIC,144.949592,-37.810871,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1
4750,3004,MELBOURNE,VIC,144.970161,-37.844246,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20605,Port Phillip,206,Melbourne - Inner,R1
4751,3004,ST KILDA ROAD CENTRAL,VIC,144.970161,-37.844246,Melbourne Metro,,Updated 6-Feb-2020,20605,Port Phillip,206,Melbourne - Inner,R1
22851,3004,ST KILDA ROAD MELBOURNE,VIC,0,0,,,Added 25-Mar-2020,,,,,R1
4752,3005,WORLD TRADE CENTRE,VIC,144.950858,-37.824608,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1
20754,3006,SOUTH WHARF,VIC,144.9520744,-37.82528675,Melbourne Metro,Delivery Area,Updated 6-Feb-2020,20605,Port Phillip,206,Melbourne - Inner,R1
4753,3006,SOUTHBANK,VIC,144.965926,-37.823258,SOUTH MELBOURNE DC,Delivery Area,Updated 6-Feb-2020,20605,Port Phillip,206,Melbourne - Inner,R1
4754,3008,DOCKLANDS,VIC,144.948039,-37.814719,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1
4755,3010,UNIVERSITY OF MELBOURNE,VIC,144.961351,-37.796152,CARLTON DC,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1
4756,3011,FOOTSCRAY,VIC,144.907953,-37.807101,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4757,3011,SEDDON,VIC,144.907953,-37.807101,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4758,3011,SEDDON WEST,VIC,144.907953,-37.807101,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4759,3012,BROOKLYN,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4760,3012,KINGSVILLE,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4761,3012,KINGSVILLE WEST,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4762,3012,MAIDSTONE,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4763,3012,TOTTENHAM,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4764,3012,WEST FOOTSCRAY,VIC,144.861162,-37.807135,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4765,3013,YARRAVILLE,VIC,144.888686,-37.814183,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4766,3013,YARRAVILLE WEST,VIC,144.888686,-37.814183,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4767,3015,NEWPORT,VIC,144.880556,-37.838242,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1
4768,3015,SOUTH KINGSVILLE,VIC,144.880556,-37.838242,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1
4769,3015,SPOTSWOOD,VIC,144.880556,-37.838242,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1
4770,3016,WILLIAMSTOWN,VIC,144.888461,-37.863743,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1
4771,3016,WILLIAMSTOWN NORTH,VIC,144.888461,-37.863743,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1
4772,3018,ALTONA,VIC,144.812736,-37.86172,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1
4773,3018,SEAHOLME,VIC,144.812736,-37.86172,NEWPORT DC,Delivery Area,Updated 6-Feb-2020,21302,Hobsons Bay,213,Melbourne - West,R1
4774,3019,BRAYBROOK,VIC,144.854014,-37.784683,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4775,3019,BRAYBROOK NORTH,VIC,144.854014,-37.784683,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4776,3019,ROBINSON,VIC,144.854014,-37.784683,WEST FOOTSCRAY DC,Delivery Area,Updated 6-Feb-2020,21303,Maribyrnong,213,Melbourne - West,R1
4777,3020,ALBION,VIC,144.829945,-37.777204,SUNSHINE DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4778,3020,GLENGALA,VIC,144.829945,-37.777204,SUNSHINE DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4779,3020,SUNSHINE,VIC,144.829945,-37.777204,SUNSHINE DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4780,3020,SUNSHINE NORTH,VIC,144.829945,-37.777204,SUNSHINE DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4781,3020,SUNSHINE WEST,VIC,144.829945,-37.777204,SUNSHINE DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4782,3021,ALBANVALE,VIC,144.796693,-37.743361,ST ALBANS DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4783,3021,KEALBA,VIC,144.796693,-37.743361,ST ALBANS DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4784,3021,KINGS PARK,VIC,144.796693,-37.743361,ST ALBANS DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4785,3021,ST ALBANS,VIC,144.796693,-37.743361,ST ALBANS DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
4786,3022,ARDEER,VIC,144.793961,-37.795937,SUNSHINE DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1
